fold;rank;feature
6;18;LLUVIA_TOTAL_30D_PREV
6;19;LLUVIA_MAX_7D_PREV
6;20;WX_VPD_MAX
6;21;FIRE_DRY_INDEX_7D
6;22;LLUVIA_MAX_30D_PREV
6;23;WX_GUST_MEAN
6;24;LLUVIA_DESV_7D_PREV
6;25;LLUVIA_DESV_14D_PREV
6;26;LLUVIA_PROMEDIO_3D_PREV
6;27;EVENTOS_rolling_std_3d
6;28;DANO_SIN
6;29;LLUVIA_PROMEDIO_30D_PREV
6;30;DIAS_SECOS_30D_PREV
6;31;HUM_MIN
6;32;VIENTO_MAX
6;33;WX_VPD_MEAN
6;34;DIAS_SECOS_7D_PREV
6;35;MES
6;36;WX_HUMIDITY_MIN
6;37;DANO_COS
6;38;VIENTO_MEDIO
6;39;LLUVIA_LAG_14D
6;40;VPD
6;41;LLUVIA_TOTAL_7D_PREV
6;42;TEMP_MEDIA
6;43;EVENTOS_lag_7
6;44;HUM_MEDIA_lag_1
6;45;DIA_VIERNES
6;46;LLUVIA_TOTAL_14D_PREV
6;47;LLUVIA_LAG_2D
6;48;EVENTOS_rolling_std_7d
6;49;N_INCENDIO_FOREST_lag_1
6;50;DIAS_SECOS_14D_PREV
6;51;LLUVIA_LAG_5D
6;52;WX_PRECIP_MAX_HOURLY
6;53;DIAS_DESDE_ULTIMA_LLUVIA
6;54;VPD_MAX
6;55;DIA_COS
6;56;WX_CAPE_MEAN
6;57;LLUVIA_LAG_3D
6;58;LLUVIA_PROMEDIO_14D_PREV
6;59;EVENTOS_lag_2
6;60;EVENTOS_lag_3
6;61;VIENTO_KURT
6;62;WX_DEWPOINT_MEAN
6;63;LLUVIA_LAG_10D
6;64;LLUVIA_MAX_14D_PREV
6;65;VIENTO_SKEW
6;66;N_RESCATE_PERS_lag_1
6;67;HUM_MAX
6;68;DIA_DOMINGO
6;69;EVENTOS_rolling_max_7d
6;70;HUM_KURT
6;71;DIA_SIN
6;72;WX_PRESSURE_RANGE
6;73;DIA_SEMANA
6;74;ES_PRE_FERIADO
6;75;LLUVIA_MAX_3D_PREV
6;76;HUM_SKEW
6;77;LLUVIA_LAG_7D
6;78;WX_WIND_RAIN_INDEX
6;79;TEMP_HUM_INDEX
6;80;WX_CAPE_MAX
6;81;LLUVIA_PROMEDIO_7D_PREV
6;82;WX_VISIBILITY_MIN
6;83;LLUVIA_DESV_3D_PREV
6;84;TEMP_SKEW
6;85;N_GASES_lag_1
6;86;LLUVIA_LAG_1D
6;87;ES_FIN_SEMANA
6;88;N_INCENDIO_ESTR_lag_1
6;89;HUM_MEDIA
6;90;TEMP_KURT
6;91;WX_ET0_SUM
6;92;N_RESCATE_VEH_lag_1
6;93;TEMP_MIN
6;94;TEMP_MAX
6;95;WX_WIND_MAX
6;96;VIENTO_LLUVIA_INDEX
6;97;LLUVIA_TOTAL_3D_PREV
6;98;DIA_JUEVES
6;99;N_EMERGENCIAS_CLIMATICAS_lag_1
6;100;DIAS_SECOS_3D_PREV
6;101;ES_FERIADO_IRRENUNCIABLE
6;102;MES_COS
6;103;DIA_LUNES
6;104;DIA_MARTES
6;105;DIA_MIERCOLES
6;106;DIA_SABADO
6;107;WX_LOW_HUMIDITY_HOURS
6;108;WX_TEMP_MAX
