split,fold,model,train_start,train_end,test_start,test_end,n_train,n_test,mae,rmse,r2,mase,poisson_deviance,roc_auc,pr_auc,brier,log_loss,precision,recall,f1,alerts_per_week
cv,outer_22,historical_median,2022-02-03,2024-11-09,2024-11-10,2024-12-09,953,28,1.9642857142857142,2.611786471254603,-0.023149033862636337,0.8450067781292362,1.5918844251971536,0.5,0.32142857142857145,0.22709471529759587,0.6515193457700994,0.0,0.0,0.0,0.0
cv,outer_22,moving_average_28d,2022-02-03,2024-11-09,2024-11-10,2024-12-09,953,28,2.045918367346938,2.739776916287238,-0.12588482877367513,0.8801239429346068,1.776173248033313,0.3538011695906433,0.2797182556006086,0.24963556851311955,0.7303125585027798,0.0,0.0,0.0,0.0
cv,outer_23,historical_median,2022-02-03,2024-12-09,2024-12-10,2025-01-06,981,28,2.0714285714285716,2.712405363721075,-0.44055944055944063,0.884917175239756,1.4550087857179146,0.5,0.39285714285714285,0.26525244387798047,0.7366507517331957,0.0,0.0,0.0,0.0
cv,outer_23,moving_average_28d,2022-02-03,2024-12-09,2024-12-10,2025-01-06,981,28,1.7346938775510203,2.390342876462578,-0.11877408305979698,0.7410636442894507,1.076210921173425,0.44919786096256686,0.39038739038739034,0.2466745626822158,0.6884132225389481,0.0,0.0,0.0,0.0
cv,outer_24,historical_median,2022-02-03,2025-01-06,2025-01-07,2025-02-03,1009,28,1.6785714285714286,2.1297216451250818,-0.088460361187634,0.7160389335590351,1.0033080670503254,0.5,0.32142857142857145,0.22577438056781052,0.6477940143396265,0.0,0.0,0.0,0.0
cv,outer_24,moving_average_28d,2022-02-03,2025-01-06,2025-01-07,2025-02-03,1009,28,1.7818877551020407,2.158246186953319,-0.11781232235777694,0.7601112387401003,1.011880939134879,0.33040935672514615,0.2726337448559671,0.2288174198250729,0.6514624955855783,0.0,0.0,0.0,0.0
cv,outer_25,historical_median,2022-02-03,2025-02-03,2025-02-04,2025-03-05,1037,28,2.0714285714285716,2.7902892835178013,-0.1473684210526316,0.8827642945290005,1.5934484946343612,0.5,0.39285714285714285,0.26304356258841644,0.7304663519139115,0.0,0.0,0.0,0.0
cv,outer_25,moving_average_28d,2022-02-03,2025-02-03,2025-02-04,2025-03-05,1037,28,2.0395408163265305,2.6626995743650115,-0.04483754027926956,0.8691749427043544,1.4247808838122762,0.3342245989304813,0.3330381739472648,0.24895225947521865,0.6925560970849677,0.0,0.0,0.0,0.0
cv,outer_26,historical_median,2022-02-03,2025-03-05,2025-03-06,2025-04-04,1065,28,2.6785714285714284,3.7080992435478315,-0.20703168738103206,1.1390887290167866,2.4591139577928627,0.5,0.42857142857142855,0.2803156340232317,0.7680546493331466,0.0,0.0,0.0,0.0
cv,outer_26,moving_average_28d,2022-02-03,2025-03-05,2025-03-06,2025-04-04,1065,28,2.7130102040816326,3.45788252122773,-0.04963050050386264,1.1537341555327167,2.043628321712222,0.40625,0.41478174603174606,0.2545553935860058,0.7030928188091435,0.5,0.25,0.3333333333333333,1.4
