FECHA_DIA;WX_GUST_MAX;WX_GUST_MEAN;WX_PRECIP_PROB_MAX;WX_PRECIP_MAX_HOURLY;WX_PRECIP_HOURS;WX_HEAVY_RAIN_HOURS;WX_PRESSURE_MEAN;WX_DEWPOINT_MEAN;WX_VISIBILITY_MIN;WX_CAPE_MAX;WX_CAPE_MEAN;WX_VPD_MAX;WX_VPD_MEAN;WX_SOIL_MOISTURE_SURFACE_MEAN;WX_SOIL_MOISTURE_DEEP_MEAN;WX_ET0_SUM;WX_LOW_HUMIDITY_HOURS;WX_TEMP_MAX;WX_HUMIDITY_MIN;WX_WIND_MAX;WX_PRESSURE_RANGE;WX_WIND_RAIN_INDEX;WX_FIRE_WEATHER_INDEX
2025-07-08;35.6;22.570833333333336;0.0;0.0;0.0;0.0;1020.1958333333333;7.7875000000000005;24140.0;0.0;0.0;0.36;0.1425;0.37870833333333337;0.4275;1.1400000000000001;0.0;13.4;77;18.3;2.2999999999999545;0.0;78.49645733333332
2025-07-09;35.3;18.154166666666665;0.0;0.0;0.0;0.0;1024.0625;4.5;24140.0;0.0;0.0;0.46;0.21083333333333332;0.3680833333333333;0.41395833333333326;1.26;0.0;11.6;66;18.4;6.400000000000091;0.0;84.10572116666667
2025-07-10;43.9;23.0125;0.0;0.0;0.0;0.0;1025.675;3.891666666666667;24140.0;0.0;0.0;0.48;0.23708333333333334;0.356875;0.40458333333333335;1.32;0.0;12.4;65;23.0;2.300000000000182;0.0;106.75711749999999
2025-07-11;45.4;28.183333333333334;0.0;0.0;0.0;0.0;1022.0291666666667;6.229166666666667;24140.0;0.0;0.0;0.45;0.20458333333333334;0.34770833333333334;0.3970833333333334;1.33;0.0;13.7;70;23.9;5.0;0.0;108.77036041666666
2025-07-12;32.0;19.304166666666667;0.0;0.0;0.0;0.0;1020.5458333333332;6.583333333333333;24140.0;0.0;0.0;0.37;0.14625000000000002;0.3396666666666666;0.39091666666666663;1.2;0.0;13.1;75;14.7;2.900000000000091;0.0;72.78901333333334
2025-07-13;30.6;17.095833333333335;0.0;0.0;0.0;0.0;1018.7916666666666;6.0625;24140.0;0.0;0.0;0.29;0.15458333333333332;0.3312916666666667;0.3857916666666667;1.22;0.0;11.1;76;15.3;3.0;0.0;65.87059275
2025-07-14;38.5;27.09166666666667;80.0;1.3;7.0;0.0;1020.4166666666666;7.720833333333334;24140.0;20.0;1.25;0.35;0.18333333333333335;0.3254166666666667;0.38116666666666665;1.04;0.0;11.9;75;16.4;2.7000000000000455;32.067001233001506;87.03646875
2025-07-15;43.9;32.699999999999996;97.0;1.0;3.0;0.0;1024.0249999999999;7.479166666666667;9080.0;30.0;5.833333333333333;0.5;0.2383333333333333;0.365125;0.3781666666666667;1.28;0.0;12.6;66;21.8;11.100000000000136;30.4291612265816;107.65651874999999
2025-07-16;42.5;26.775000000000002;0.0;0.0;0.0;0.0;1027.8625;4.470833333333333;24140.0;0.0;0.0;0.53;0.29458333333333336;0.33712499999999995;0.3774166666666667;1.59;0.0;12.5;62;21.7;6.599999999999909;0.0;108.12844687500002
2025-07-17;39.6;24.8125;0.0;0.0;0.0;0.0;1019.8416666666667;4.983333333333333;24140.0;0.0;0.0;0.61;0.32416666666666666;0.31295833333333334;0.374875;1.66;0.0;14.5;61;21.2;7.2000000000000455;0.0;107.5590285
2025-07-18;33.1;25.9375;0.0;0.0;0.0;0.0;1019.3666666666667;8.083333333333334;24140.0;0.0;0.0;0.35;0.1275;0.2995833333333333;0.3715;1.22;0.0;13.3;77;15.7;3.099999999999909;0.0;75.98311875
2025-07-19;38.5;22.295833333333334;0.0;0.0;0.0;0.0;1019.9041666666667;8.970833333333333;24140.0;0.0;0.0;0.23;0.12458333333333334;0.29383333333333334;0.36795833333333333;0.91;0.0;13.3;84;20.5;2.0;0.0;80.79552249999999
2025-07-20;25.9;15.441666666666668;2.0;0.0;0.0;0.0;1018.4125;7.866666666666667;24140.0;0.0;0.0;0.42;0.18333333333333335;0.2869583333333333;0.36466666666666664;1.1700000000000002;0.0;13.6;73;10.9;2.3999999999999773;0.0;63.00224641666667
2025-07-21;37.1;22.816666666666666;92.0;1.4;7.0;0.0;1020.0583333333334;10.525;19900.0;10.0;0.4166666666666667;0.15;0.05125;0.34591666666666665;0.3617916666666667;0.49;0.0;12.8;90;17.5;3.2000000000000455;32.479890155829686;70.57146541666667
2025-07-22;35.3;24.195833333333336;78.0;0.2;1.0;0.0;1019.3208333333333;7.5625;24140.0;10.0;0.4166666666666667;0.52;0.22791666666666666;0.34925;0.3625833333333333;1.44;0.0;14.6;68;18.1;5.400000000000091;6.435950954826598;88.572642
2025-07-23;28.1;15.604166666666666;0.0;0.0;0.0;0.0;1017.5375;5.920833333333333;24140.0;0.0;0.0;0.34;0.1925;0.3249166666666667;0.36354166666666665;1.3;0.0;12.1;68;10.9;3.199999999999932;0.0;63.073587833333335
2025-07-24;78.5;45.37916666666666;100.0;2.6;10.0;0.0;1013.5458333333332;9.054166666666667;1420.0;100.0;26.25;0.2;0.11958333333333333;0.3942916666666667;0.36695833333333333;0.53;0.0;12.6;85;40.6;6.199999999999932;100.55330686877204;151.257725
2025-07-25;58.0;43.074999999999996;100.0;5.3;14.0;1.0;1015.6083333333332;10.225;5880.0;60.0;30.0;0.19;0.11208333333333333;0.453;0.4255;0.87;0.0;12.5;87;30.6;3.199999999999932;106.75187873705424;106.77394
