candidate;fold;start_date;end_date;mae;metric_mae;metric_rmse;metric_r2;metric_high_auc;metric_actual_mean;metric_prediction_mean;metric_actual_std;metric_prediction_std;metric_std_ratio;metric_p05;metric_p95;metric_p05_p95_width;metric_width_ratio;metric_boring_4_5_share;metric_min_prediction;metric_max_prediction
d4_regularized;1;2024-03-18;2024-07-17;2.488268478711446;2.488268478711446;3.5873485555987195;0.014991346135862393;0.568142361111111;5.541666666666667;4.77911026875178;3.6296996966629598;0.8836078960284116;0.24343829238566897;3.6860398411750794;6.34525887966156;2.6592190384864804;0.29546878205405336;0.6583333333333333;2.345076322555542;6.864452838897705
d4_regularized;2;2024-07-18;2024-11-22;2.3399432341257733;2.3399432341257733;3.037945171206546;0.27154174035758116;0.7847222222222222;5.075;4.503418056170146;3.5743307536005187;1.19291332251374;0.333744525828251;3.18328400850296;5.941954946517942;2.758670938014982;0.2758670938014982;0.6083333333333333;2.644153594970703;11.956511497497559
d4_regularized;3;2024-11-23;2025-03-24;2.4336330076058705;2.4336330076058705;3.1148840268401092;-0.0051585695548646004;0.6118158753171439;5.925;5.41598929365476;3.1199076155251397;0.6827633145742932;0.21884087566463764;4.310792708396912;6.6077290058135985;2.2969362974166865;0.2552151441574096;0.8083333333333333;3.826317548751831;7.268925189971924
d4_regularized;4;2025-03-25;2025-07-28;2.0286300837993623;2.0286300837993623;2.6381634299947296;0.2483902501769376;0.6376201923076923;5.3;4.975904506444931;3.055783880782543;1.2222374284115214;0.39997508858464287;3.698630177974701;6.88190324306488;3.183273065090179;0.3954376478372894;0.7166666666666667;2.763361930847168;13.5454740524292
d4_regularized;5;2025-07-29;2025-12-09;1.8659118115901947;1.8659118115901947;2.332463518335227;-0.010611067310625;0.5545454545454546;4.241666666666666;4.304869780937831;2.329914462069418;0.8353781457965155;0.35854455577503774;3.4347388625144957;5.738808298110961;2.3040694355964657;0.2880086794495582;0.5666666666666667;3.061248540878296;9.168027877807617
d4_regularized;6;2025-12-10;2026-04-16;2.332029124101003;2.332029124101003;2.843029854663244;-0.025530552578472365;0.5725931677018634;5.208333333333333;5.5444127480189005;2.8191894458607534;1.0854175732035336;0.38501051243547574;4.214764142036438;7.578438138961792;3.3636739969253533;0.4178477014814103;0.7;3.568108320236206;9.618478775024414
full_sampling;1;2024-03-18;2024-07-17;2.573153652747472;2.573153652747472;3.5907203420154854;0.013138836081968863;0.5538194444444444;5.541666666666667;4.968172909816106;3.6296996966629598;1.21096820961033;0.33362765815686046;3.3589763402938844;7.103326797485351;3.7443504571914663;0.4160389396879407;0.5916666666666667;2.621520519256592;8.801840782165527
full_sampling;2;2024-07-18;2024-11-22;2.364081386725108;2.364081386725108;2.991237825171785;0.2937691301474278;0.7686631944444444;5.075;4.539110275109609;3.5743307536005187;1.3535509701060053;0.3786865467731371;3.1047354459762575;6.3560705184936515;3.251335072517394;0.3251335072517394;0.6166666666666667;2.645486354827881;14.361801147460938
full_sampling;3;2024-11-23;2025-03-24;2.4958024442195894;2.4958024442195894;3.2014191591918175;-0.06178331292241257;0.5382384922073216;5.925;5.61372368534406;3.1199076155251397;0.8883915380348714;0.2847493091186734;4.188206791877747;7.314517450332642;3.126310658454895;0.3473678509394328;0.6916666666666667;3.7774906158447266;7.883343696594238
full_sampling;4;2025-03-25;2025-07-28;2.0579505344231923;2.0579505344231923;2.697136855696839;0.2144117474775128;0.5871394230769231;5.3;5.0216540197531385;3.055783880782543;1.2256785014366607;0.4011011737920359;3.777719223499298;6.862457776069641;3.0847385525703426;0.38319733572302406;0.75;2.7344553470611572;13.632975578308105
full_sampling;5;2025-07-29;2025-12-09;1.8917519291241964;1.8917519291241964;2.3457767727874796;-0.02218074040672735;0.6481818181818182;4.241666666666666;4.3409104466438295;2.329914462069418;0.7407145986448566;0.3179149323735077;3.3748507380485533;5.735987567901611;2.3611368298530575;0.2951421037316322;0.65;3.149195432662964;7.84082555770874
full_sampling;6;2025-12-10;2026-04-16;2.324858379364014;2.324858379364014;2.844009028636751;-0.026237084554649348;0.5912267080745341;5.208333333333333;5.537616833051046;2.8191894458607534;1.1291778916549624;0.400532817442569;4.252628779411316;7.735713529586792;3.4830847501754763;0.43268133542552495;0.7416666666666667;3.720970630645752;10.645503997802734
more_sampling;1;2024-03-18;2024-07-17;2.468666793902715;2.468666793902715;3.5024948924375328;0.0610382183520638;0.55859375;5.541666666666667;4.839775611956914;3.6296996966629598;1.0681988886630902;0.29429401270996636;3.530730152130127;6.882025814056396;3.3512956619262693;0.3723661846584744;0.6166666666666667;1.933727502822876;7.8082098960876465
